  i          x            density        pressure        velocity
 342   8.5463661E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 343   8.5714287E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 344   8.5964912E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 345   8.6215538E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 346   8.6466163E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 347   8.6716789E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 348   8.6967421E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 349   8.7218046E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 350   8.7468672E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 351   8.7719297E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 352   8.7969923E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 353   8.8220549E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 354   8.8471180E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 355   8.8721806E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 356   8.8972431E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
